catalogue_ticker,company_name,catalogue_country,catalogue_exchange_hint,catalogue_is_us_listed,resolution_status,resolution_note,exchange_code,mic,symbol,symbol_format,security_kind,listing_country,currency,figi,share_class_figi,isin,is_primary,is_us,confidence,source
000089,Shenzhen Airport Co Ltd,CN,SZSE,false,resolved,,C2,XSHE,000089,numeric_suffixed,ordinary,CN,CNY,BBG00F1364N8,BBG001SFKW64,,true,false,0.95,openfigi
000333,Midea Group Co Ltd,CN,SZSE,false,resolved,,C2,XSHE,000333,numeric_suffixed,ordinary,CN,CNY,BBG00DY63KP5,BBG001SN4SP3,,true,false,0.95,openfigi
000333,Midea Group Co Ltd,CN,SZSE,false,resolved,,US,OOTC,MGCLY,us,adr,US,USD,BBG01QJV8NJ3,BBG01QJV8SN7,,false,true,0.75,finnhub_directory
000333,Midea Group Co Ltd,CN,SZSE,false,resolved,,US,OOTC,MGCOF,us,ordinary,US,USD,BBG01QKKY989,BBG01PNK2PQ7,,false,true,0.75,finnhub_directory
000568,Luzhou Lao Jiao Co Ltd,CN,SZSE,false,resolved,,C2,XSHE,000568,numeric_suffixed,ordinary,CN,CNY,BBG00F136BD3,BBG001SJWJ99,,true,false,0.95,openfigi
0A0L,Sectra AB,GB,LSE,false,resolved,resolved without an exchange filter to LO,LO,,0A0L,unknown,ordinary,,,BBG00NXB92H6,BBG001S95M67,,true,false,0.8,openfigi
0A0L,Sectra AB,GB,LSE,false,resolved,resolved without an exchange filter to LO,US,OOTC,STKTF,us,ordinary,US,USD,BBG01NMV07M5,BBG001S95M67,,false,true,0.8,finnhub_directory
0A0L,Sectra AB,GB,LSE,false,resolved,resolved without an exchange filter to LO,US,OOTC,SCTAY,us,adr,US,USD,BBG01P4VQ6Q0,BBG01P4VQ7K4,,false,true,0.75,finnhub_directory
0A0X,Fox Corporation,GB,LSE,false,resolved,,LN,XLON,0A0X,numeric_suffixed,ordinary,GB,GBP,BBG00SYG7D63,BBG00JHNJX06,,true,false,0.95,openfigi
0A0X,Fox Corporation,GB,LSE,false,resolved,,US,XNAS,FOXA,us,ordinary,US,USD,BBG00JHNJW99,BBG00JHNJX06,,false,true,0.9,finnhub_directory
0A0X,Fox Corporation,GB,LSE,false,resolved,,US,XNAS,FOX,us,ordinary,US,USD,BBG00JHNKJY8,BBG00JHNKKR3,,false,true,0.75,finnhub_directory
0A1U,Uber Technologies Inc,GB,LSE,false,resolved,,LN,XLON,0A1U,numeric_suffixed,ordinary,GB,GBP,BBG00P5M96M3,BBG002B04MW4,,true,false,0.95,openfigi
0A1U,Uber Technologies Inc,GB,LSE,false,resolved,,US,XNYS,UBER,us,ordinary,US,USD,BBG002B04MT8,BBG002B04MW4,,false,true,0.9,finnhub_directory
0A4L,Bloom Energy Corporation,GB,LSE,false,resolved,,LN,XLON,0A4L,numeric_suffixed,ordinary,GB,GBP,BBG00X9DNFK8,BBG001T53509,,true,false,0.95,openfigi
0A4L,Bloom Energy Corporation,GB,LSE,false,resolved,,US,XNYS,BE,us,ordinary,US,USD,BBG000N7KBZ3,BBG001T53509,,false,true,0.9,finnhub_directory
0A4M,"DexCom, Inc.",GB,LSE,false,resolved,,LN,XLON,0A4M,numeric_suffixed,ordinary,GB,GBP,BBG00X9DNB45,BBG001SKZG99,,true,false,0.95,openfigi
0A4M,"DexCom, Inc.",GB,LSE,false,resolved,,US,XNAS,DXCM,us,ordinary,US,USD,BBG000QTF8K1,BBG001SKZG99,,false,true,0.9,finnhub_directory
0A4W,ACADIA Pharmaceuticals Inc.,GB,LSE,false,resolved,,LN,XLON,0A4W,numeric_suffixed,ordinary,GB,GBP,BBG00XCCRSH8,BBG001SB06N3,,true,false,0.95,openfigi
0A4W,ACADIA Pharmaceuticals Inc.,GB,LSE,false,resolved,,US,XNAS,ACAD,us,ordinary,US,USD,BBG000BHG9K0,BBG001SB06N3,,false,true,0.9,finnhub_directory
0A6D,"Jack Henry & Associates, Inc.",GB,LSE,false,resolved,,LN,XLON,0A6D,numeric_suffixed,ordinary,GB,GBP,BBG00ZF223Z4,BBG001S5SHB5,,true,false,0.95,openfigi
0A6D,"Jack Henry & Associates, Inc.",GB,LSE,false,resolved,,US,XNAS,JKHY,us,ordinary,US,USD,BBG000BMH2Q7,BBG001S5SHB5,,false,true,0.9,finnhub_directory
0A77,The Cigna Group,GB,LSE,false,resolved,,LN,XLON,0A77,numeric_suffixed,ordinary,GB,GBP,BBG00Z72S6B4,BBG00KXRCDQ9,,true,false,0.95,openfigi
0A77,The Cigna Group,GB,LSE,false,resolved,,US,XNYS,CI,us,ordinary,US,USD,BBG00KXRCDP0,BBG00KXRCDQ9,,false,true,0.9,finnhub_directory
0A79,Carvana Co.,GB,LSE,false,resolved,,LN,XLON,0A79,numeric_suffixed,ordinary,GB,GBP,BBG00Z72R466,BBG00GCTWF71,,true,false,0.95,openfigi
0A79,Carvana Co.,GB,LSE,false,resolved,,US,XNYS,CVNA,us,ordinary,US,USD,BBG00GCTWDJ3,BBG00GCTWF71,,false,true,0.9,finnhub_directory
0A7R,Palantir Technologies Inc.,GB,LSE,false,resolved,,LN,XLON,0A7R,numeric_suffixed,ordinary,GB,GBP,BBG00ZHRVBY8,BBG001T53796,,true,false,0.95,openfigi
0A7R,Palantir Technologies Inc.,GB,LSE,false,resolved,,US,XNAS,PLTR,us,ordinary,US,USD,BBG000N7QR55,BBG001T53796,,false,true,0.9,finnhub_directory
0A8N,"Commvault Systems, Inc.",GB,LSE,false,resolved,,LN,XLON,0A8N,numeric_suffixed,ordinary,GB,GBP,BBG0101PXX11,BBG001S7R751,,true,false,0.95,openfigi
0A8N,"Commvault Systems, Inc.",GB,LSE,false,resolved,,US,XNAS,CVLT,us,ordinary,US,USD,BBG000BG88X9,BBG001S7R751,,false,true,0.9,finnhub_directory
0A8O,Vistra Corp.,GB,LSE,false,resolved,,LN,XLON,0A8O,numeric_suffixed,ordinary,GB,GBP,BBG0101PXZ16,BBG00DXDL6R0,,true,false,0.95,openfigi
